team,true_value,report,truthful,selected,payment_score_units,utility_score_units
Team C,3,2.0,False,False,0.0,0.0
Team C,3,2.5,False,False,0.0,0.0
Team C,3,3.0,True,False,0.0,0.0
Team C,3,3.5,False,False,0.0,0.0
Team C,3,4.0,False,False,0.0,0.0
Team C,3,4.5,False,True,2.4,-1.2
Team C,3,5.0,False,True,2.4,-1.2
Team C,3,5.5,False,True,2.4,-1.2
Team C,3,6.0,False,True,2.4,-1.2
Team C,3,6.5,False,True,2.4,-1.2
Team C,3,7.0,False,True,2.4,-1.2
Team C,3,7.5,False,True,2.4,-1.2
Team C,3,8.0,False,True,2.4,-1.2
Team C,3,8.5,False,True,2.4,-1.2
Team C,3,9.0,False,True,2.4,-1.2
Team C,3,9.5,False,True,2.4,-1.2
Team C,3,10.0,False,True,2.4,-1.2
Team D,9,0.0,False,False,0.0,0.0
Team D,9,0.5,False,False,0.0,0.0
Team D,9,1.0,False,False,0.0,0.0
Team D,9,1.5,False,False,0.0,0.0
Team D,9,2.0,False,False,0.0,0.0
Team D,9,2.5,False,False,0.0,0.0
Team D,9,3.0,False,False,0.0,0.0
Team D,9,3.5,False,False,0.0,0.0
Team D,9,4.0,False,False,0.0,0.0
Team D,9,4.5,False,False,0.0,0.0
Team D,9,5.0,False,False,0.0,0.0
Team D,9,5.5,False,True,2.4,3.6
Team D,9,6.0,False,True,2.4,3.6
Team D,9,6.5,False,True,2.4,3.6
Team D,9,7.0,False,True,2.4,3.6
Team D,9,7.5,False,True,2.4,3.6
Team D,9,8.0,False,True,2.4,3.6
Team D,9,8.5,False,True,2.4,3.6
Team D,9,9.0,True,True,2.4,3.6
Team D,9,9.5,False,True,2.4,3.6
Team D,9,10.0,False,True,2.4,3.6
Team E,6,0.0,False,False,0.0,0.0
Team E,6,0.5,False,False,0.0,0.0
Team E,6,1.0,False,False,0.0,0.0
Team E,6,1.5,False,False,0.0,0.0
Team E,6,2.0,False,False,0.0,0.0
Team E,6,2.5,False,False,0.0,0.0
Team E,6,3.0,False,False,0.0,0.0
Team E,6,3.5,False,False,0.0,0.0
Team E,6,4.0,False,False,0.0,0.0
Team E,6,4.5,False,False,0.0,0.0
Team E,6,5.0,False,True,2.4,1.2
Team E,6,5.5,False,True,2.4,1.2
Team E,6,6.0,True,True,2.4,1.2
Team E,6,6.5,False,True,2.4,1.2
Team E,6,7.0,False,True,2.4,1.2
Team E,6,7.5,False,True,2.4,1.2
Team E,6,8.0,False,True,2.4,1.2
Team E,6,8.5,False,True,2.4,1.2
Team E,6,9.0,False,True,2.4,1.2
Team E,6,9.5,False,True,2.4,1.2
Team E,6,10.0,False,True,2.4,1.2
Team F,3,0.0,False,False,0.0,0.0
Team F,3,0.5,False,False,0.0,0.0
Team F,3,1.0,False,False,0.0,0.0
Team F,3,1.5,False,False,0.0,0.0
Team F,3,2.0,False,False,0.0,0.0
Team F,3,2.5,False,False,0.0,0.0
Team F,3,3.0,True,False,0.0,0.0
Team F,3,3.5,False,False,0.0,0.0
Team F,3,4.0,False,False,0.0,0.0
Team F,3,4.5,False,True,2.4,-1.2
Team F,3,5.0,False,True,2.4,-1.2
Team F,3,5.5,False,True,2.4,-1.2
Team F,3,6.0,False,True,2.4,-1.2
Team F,3,6.5,False,True,2.4,-1.2
Team F,3,7.0,False,True,2.4,-1.2
Team F,3,7.5,False,True,2.4,-1.2
Team F,3,8.0,False,True,2.4,-1.2
Team F,3,8.5,False,True,2.4,-1.2
Team F,3,9.0,False,True,2.4,-1.2
Team F,3,9.5,False,True,2.4,-1.2
Team F,3,10.0,False,True,2.4,-1.2
